ID	adj.P.Val	P.Value	t	B	logFC	GENE_SYMBOL	AveExpr	RANGE_STRAND
7948667	7948667	0.0000410132222826343	0.0000000363810273673816	44.1132028753969	10.321941234572	0.7684098844065	AHNAK	2.95589792940293	-
8089082	8089082	0.0000410132222826343	0.0000000367990918039787	44.0205004411662	10.3165419466909	1.27899924103056	DCBLD2	2.85794489775305	-
8127854	8127854	0.0000423100012077568	0.0000000392716820714924	43.4965572281689	10.2855521171561	0.878254540199487	ME1	2.55936105761642	-
8083494	8083494	0.0000505822828770439	0.0000000513053730530009	41.407391591977	10.1535067439374	1.31668610619749	MME	2.71385947437313	+
8092169	8092169	0.0000505822828770439	0.0000000533784751615018	41.1063927409161	10.1332940265006	0.592321770763374	TNFSF10	2.83038798936329	-
8129497	8129497	0.0000505822828770439	0.0000000566104559290653	40.6637029714104	10.102989099533	1.19835966038946	EPB41L2	2.63508102144985	-
8151334	8151334	0.0000505822828770439	0.0000000581202221037689	40.4670396121609	10.0893012191874	0.638589269284776	MSC	2.78520199909545	-
8155849	8155849	0.0000505822828770439	0.0000000583485961110032	40.4378180983618	10.087255400771	0.590488377366925	ANXA1	3.34339866274589	+
8157381	8157381	0.0000505822828770439	0.0000000602568606659001	40.1988161693896	10.0704051350771	0.597156779355184	ZNF618	2.49499507529905	+
7970569	7970569	0.0000505822828770439	0.0000000603664763102738	40.1853600865328	10.0694501769942	0.524497293584687	SACS	3.06709724253374	-
7970329	7970329	0.0000505822828770439	0.0000000610349009066772	40.1039270915036	10.063656636098	0.518027276169132	GAS6	2.76402544247491	-
8037005	8037005	0.0000510154784179572	0.0000000631360148732493	39.8546656052216	10.0457685835952	0.719135587511589	TGFB1	2.91329696305001	-
8102950	8102950	0.0000522388315402472	0.0000000705325034508111	39.0495096440153	9.98635710268094	0.630630617130847	INPP4B	2.64659389673285	-
8135069	8135069	0.0000523403505215635	0.0000000759631137082525	38.5194746196434	9.94583937015351	0.945460123081913	SERPINE1	2.9463621928645	+
8123936	8123936	0.0000523403505215635	0.0000000761113973736421	38.5056361323942	9.94476609255913	0.551666684759991	NEDD9	2.74052785087044	-
7956301	7956301	0.0000531502092355539	0.0000000789335120604742	38.2481863492275	9.9246533338893	0.493362218932045	LRP1	2.95007184608354	+
8111772	8111772	0.0000550263166842389	0.0000000846430129375351	37.7591293786974	9.88567251934394	1.24544595035067	DAB2	2.78370170449823	-
8152617	8152617	0.0000550263166842389	0.0000000851247125463924	37.7196633525344	9.88248182106852	0.88639558884214	HAS2	2.60523984345561	-
7991234	7991234	0.0000577056732283479	0.0000000928404135971687	37.1213290270634	9.83326376267282	0.986125703946907	MFGE8	2.91957000806149	-
7995681	7995681	0.0000577442293473818	0.0000000946890305192053	36.986685390807	9.82196589738223	0.521998108434331	MMP2	3.12486738569704	+
8163896	8163896	0.0000589300514211595	0.0000000991177244943942	36.6763886104132	9.79561070153965	0.834780059744766	STOM	2.90229680990816	-
8137670	8137670	0.0000589300514211595	0.000000101317946054226	36.5282687012914	9.78287136507627	0.553543187963157	PDGFA	2.89037591066853	-
7942596	7942596	0.0000615443709151644	0.000000108537147432455	36.0677574490888	9.74259523162245	0.560852463164856	SERPINH1	3.19898912254206	+
7954090	7954090	0.0000664214174349151	0.000000119310589481023	35.4439658983338	9.68637793226507	0.9097856001037	EMP1	2.63507090707604	+
8104758	8104758	0.0000671666213940054	0.000000124686652134536	35.1571260563631	9.65986548318968	1.32754908665188	NPR3	2.48994029336534	+
8104901	8104901	0.0000709148223033216	0.000000133838809458328	34.7009547746059	9.61681536083963	0.874830559914388	IL7R	2.70044372354466	+
8038347	8038347	0.0000720135541563918	0.000000140434080714765	34.3945235153844	9.58727030824737	0.555671406617088	TEAD2	2.79065000796662	-
8124088	8124088	0.0000720135541563918	0.000000140570499184689	34.388365957635	9.58667136568882	0.838224718506992	KIF13A	2.65014270634372	-
8135587	8135587	0.0000720135541563918	0.000000143154124478948	34.2730654225331	9.57541754397412	1.19880017895069	CAV2	2.69926899110601	+
8145555	8145555	0.0000720135541563918	0.000000144824758521254	34.1998120086883	9.56822945788656	0.616653768604627	SCARA3	2.9111810691738	+
8021301	8021301	0.0000748838967047184	0.000000153463308803745	33.8363421285332	9.53211825801772	0.851681479129695	RAB27B	2.59790654696886	+
8148070	8148070	0.0000748838967047184	0.000000155230997779033	33.7649474582553	9.52493697022829	0.969576686076141	COL14A1	2.82399104455967	+
8115691	8115691	0.000079355164721629	0.000000166954958109922	33.314546045183	9.47895170261674	0.77441610579178	SLIT3	2.91732851484616	-
8105348	8105348	0.0000796577564297381	0.000000170869432954678	33.1724352264549	9.46419443738218	1.21204895720752	GPX8	2.56218244600893	+
8109999	8109999	0.0000796577564297381	0.000000173741961486397	33.0705790533062	9.45354294988351	0.556280452113989	ERGIC1	2.94582397718811	+
8064978	8064978	0.0000796577564297381	0.000000176196321620478	32.9851162071839	9.44455746573058	0.317161504758734	JAG1	3.2167617537293	-
8111677	8111677	0.0000796577564297381	0.000000177898183345956	32.9266785252171	9.43838785644789	0.716641999318612	LIFR	2.83300606509581	-
8112841	8112841	0.0000796577564297381	0.000000182053937052552	32.7867164134618	9.42352636926805	0.425336144174164	HOMER1	2.80655915340976	-
8170648	8170648	0.0000796577564297381	0.000000184759506930755	32.6976109007756	9.41400213669069	0.375176626582573	BGN	3.37441831889089	+
8007931	8007931	0.0000796577564297381	0.000000184843653730712	32.6948643911262	9.41370778950162	0.381797438517208	ITGB3	3.00614516967188	+
7937335	7937335	0.0000809482581972691	0.00000019537332849146	32.3623904300245	9.37772766964162	0.576257625264152	IFITM1	2.60424531575385	+
8155169	8155169	0.0000809482581972691	0.000000197198786034459	32.3069089915249	9.37165557553811	0.618022419299726	RECK	2.66394998458022	+
8084742	8084742	0.0000809482581972691	0.000000199907294172266	32.2256985577912	9.36273217350348	0.799675453646636	LPP	2.96467090127731	+
7980908	7980908	0.0000809482581972691	0.000000200360776454365	32.2122288130661	9.36124803267036	0.902675135734011	FBLN5	2.87819754597716	-
7927631	7927631	0.0000833232202824233	0.000000211395193934554	31.8951649981816	9.32597380866664	1.17416381930769	DKK1	2.68744908219986	+
7992789	7992789	0.0000839400074717454	0.000000222543885222266	31.5941035626066	9.29186844460249	0.516592205598967	TNFRSF12A	3.21250486260321	+
8010915	8010915	0.0000839400074717454	0.000000222877299405759	31.5853763319519	9.29087077165399	0.519494342880737	FAM101B	3.14240087136383	-
8145291	8145291	0.0000839400074717454	0.00000022334830737199	31.5730738179126	9.28946351223213	0.684091452575292	SLC25A37	2.67935102178114	+
8055711	8055711	0.0000847005393955446	0.000000233061136928903	31.3260128007548	9.26098582494677	0.618732883703287	NEB	2.75996768987554	-
8145281	8145281	0.0000847005393955446	0.000000235943114970803	31.2550405869915	9.2527281379265	0.454632150176623	SLC25A37	3.04114948227733	+
8052355	8052355	0.0000847005393955446	0.000000239697241454985	31.1641133684477	9.24209792951524	0.645150851530635	EFEMP1	2.6909851869707	-
8042439	8042439	0.0000847005393955446	0.000000241019580658287	31.1324859107366	9.2383869728146	0.543998325520712	ANTXR1	3.0221626950998	+
7957260	7957260	0.0000847005393955446	0.000000241095560916745	31.1306748677989	9.23817426665861	0.631136645232324	GLIPR1	3.16912269645493	+
7979204	7979204	0.0000863689259744251	0.000000251693935009354	30.8844654335399	9.2090434982863	0.481265729851902	FERMT2	3.15470761173704	-
8056860	8056860	0.0000863689259744251	0.000000253861203786095	30.8356274104583	9.20321435833967	0.412028168800452	WIPF1	2.93415844996377	-
8023828	8023828	0.000089263103485378	0.000000265129727873404	30.5894070700923	9.17356691711389	0.894623361686937	NETO1	2.53700302505741	-
8012896	8012896	0.0000894782515805055	0.000000272939791203638	30.4259066694041	9.15363785240169	0.782803345857876	PMP22	2.8885439327436	-
8006820	8006820	0.0000928152552035041	0.000000288801152086293	30.110260907595	9.11460759651561	0.398275726091287	LASP1	3.29107437975765	+
8066214	8066214	0.0000939597234793357	0.000000305243370110153	29.8039981212131	9.07602321983418	0.606789204461252	TGM2	2.93225842875055	-
8134263	8134263	0.0000949231576516998	0.000000311310129979895	29.6958888910438	9.06223201565108	0.377076497273822	COL1A2	3.31670198639635	+
8154245	8154245	0.0000969300933958382	0.000000326889025096574	29.4293179673969	9.02783817503888	1.03800157380731	PDCD1LG2	2.60347825709195	+
8106354	8106354	0.0000979979092799956	0.000000335149853476532	29.2939921581941	9.01016392649652	1.11233465367672	IQGAP2	2.49260925139386	+
8032909	8032909	0.0000979979092799956	0.000000341401930757478	29.1941692031126	8.9970329584475	0.597907771943949	PLIN3	2.82356551860792	-
8120967	8120967	0.0000979979092799956	0.000000345650247762121	29.1275646735156	8.98822709829946	0.97999873378536	NT5E	2.87466494122703	+
7928444	7928444	0.0000998458984384087	0.000000357293817541014	28.949870918593	8.96455808647377	0.392368392617494	VCL	3.06641513643719	+
8091422	8091422	0.0000998458984384087	0.000000358346716340937	28.9341409552898	8.96245042546042	0.850413239427696	WWTR1	2.74966603580972	-
8156060	8156060	0.00010192615827814	0.000000372119881093423	28.7332737780488	8.93535690909699	0.491155504869941	TLE4	3.09770963300702	+
8122396	8122396	0.000104914053151721	0.000000386274320876668	28.5358060545301	8.90839433010398	0.712907359758729	AIG1	2.56554138359987	+
8126710	8126710	0.000105652156537189	0.000000395529560997491	28.4112575830182	8.89121898018311	0.419404393478621	SUPT3H	2.84643711713489	-
8018966	8018966	0.000105770912969752	0.000000407497536659932	28.2552196213577	8.86951410751485	0.325010809636481	TIMP2	3.33313146740717	-
7980146	7980146	0.000105770912969752	0.000000410480028890813	28.2171765214345	8.86419050231902	0.401997094656378	NPC2	3.30334218564046	-
7942957	7942957	0.000105770912969752	0.000000411209462794982	28.20792198187	8.86289356176147	0.678449646986659	PRSS23	2.7242291200616	+
7965403	7965403	0.000105770912969752	0.000000412336717124739	28.1936582953121	8.86089317900857	1.53332780275553	LUM	2.60603327814071	-
8117321	8117321	0.000107428768163222	0.000000422123497315341	28.0717274920586	8.84372092003142	0.796232897930875	TRIM38	2.23404303979796	+
8140971	8140971	0.00010804382853349	0.000000439540223370298	27.8627906860985	8.81399133356697	1.05249114042273	SAMD9L	2.61109607744379	-
8104746	8104746	0.00010804382853349	0.00000043986647748049	27.8589707148846	8.81344418836816	1.12842340189923	NPR3	2.71390674224696	+
7907222	7907222	0.00010804382853349	0.000000449328835663138	27.7496154742412	8.79772561559802	1.08042783125744	PRRX1	2.86074655508921	+
7916862	7916862	0.00010804382853349	0.000000451282969339475	27.7273709913882	8.7945150941505	0.692531179923968	WLS	2.86621598708272	-
8167185	8167185	0.000109006530322005	0.000000461180870949706	27.6164234319453	8.77843545561899	0.325750173992902	TIMP1	3.33068593531107	+
8007100	8007100	0.000111522154587786	0.000000486123011461002	27.3488938897736	8.73920051890584	0.397119380474688	IGFBP4	3.17254088550089	+
8021984	8021984	0.000111522154587786	0.000000486514148599294	27.344828670154	8.73859924121211	0.7910982973316	YES1	2.92979109898225	-
7946661	7946661	0.000120811172987297	0.000000546532666198468	26.7630916660579	8.6509499045331	0.419006938947147	DKK3	3.1503856938494	-
8067113	8067113	0.000121789422106697	0.000000565218072337013	26.5972632046607	8.62536886811502	0.976900986105309	ZNF217	2.60332236418903	-
8102328	8102328	0.000121950396794563	0.000000569789229159312	26.5576808899906	8.61922291000795	0.966066252207715	CFI	2.41975757582373	-
8155192	8155192	0.000121950396794563	0.000000577284450034594	26.4935844551865	8.60923778207631	0.856212388206447	GLIPR2	2.89844349378875	+
8094609	8094609	0.000124008559405815	0.00000059086408677007	26.3799249925945	8.5914311131598	1.02740192547239	FAM114A1	2.52597019794582	+
8068024	8068024	0.000127258577642593	0.000000614224130201557	26.1914521829731	8.56161770532266	0.724754877227984	JAM2	2.68731480476024	+
8038407	8038407	0.000129213848721587	0.000000627659238553545	26.086854221744	8.54491632960405	0.491045834094361	RRAS	3.21085616150908	-
8108217	8108217	0.000129448531933672	0.000000642215654418911	25.9764734621221	8.5271698074653	1.11880860490696	TGFBI	2.93827932123313	+
8171684	8171684	0.000129448531933672	0.000000644819579880611	25.9570399667127	8.52403234693885	0.763321694776636	SH3KBP1	2.83414887824334	-
8150318	8150318	0.000129490654762881	0.00000064903579937461	25.9257696077669	8.51897564653762	0.394452399391962	FGFR1	3.0066355521817	-
8092707	8092707	0.000130556563041639	0.000000658417740038589	25.8570404038283	8.50782574096169	1.13661035296204	LEPREL1	2.78967078417375	-
8115543	8115543	0.000131059869748177	0.000000669065886217916	25.7804246831359	8.49533817462426	0.461859653051505	EBF1	2.84706980713119	-
8141016	8141016	0.000132367629045262	0.000000679837456189893	25.7043739618303	8.48288161385591	0.394941405860729	TFPI2	3.08394056048195	-
8135990	8135990	0.000133052324022443	0.000000690989729141496	25.6271220210019	8.47016560432243	0.524419997250809	FLNC	3.04183236285822	+
8131614	8131614	0.000133510570663988	0.000000706361423951668	25.5230252081525	8.45293016610936	0.607910939159932	AHR	2.93943406323494	+
7902565	7902565	0.000134664364681273	0.000000720273170505893	25.4310982541433	8.43761291663167	0.675403190911113	LPHN2	2.85366497749083	+
7922846	7922846	0.000134664364681273	0.000000720798709503424	25.4276668001464	8.43703938638253	0.650741190419719	FAM129A	2.70575618469176	-
7949971	7949971	0.000138109358689033	0.000000756330450417959	25.2022905957668	8.39908924319761	0.479653212372266	CPT1A	2.64407328801891	-
7906878	7906878	0.00013837604902047	0.00000076207223556337	25.1670468132173	8.39310428351122	0.444754453529511	DDR2	3.10219025935612	+
8129953	8129953	0.00014141792490829	0.000000819928186370533	24.8285436240357	8.33491513416966	1.17300364493265	HIVEP2	2.50797323211459	-
8047127	8047127	0.00014141792490829	0.000000843989753095973	24.6959856263152	8.31177492490283	0.730336768458071	MYO1B	2.85250761572874	+
8106743	8106743	0.00014141792490829	0.000000847195465007976	24.6786626606858	8.30873602156596	0.390765123439532	VCAN	3.25433951242877	+
8037374	8037374	0.00014141792490829	0.00000084890718537538	24.6694446052417	8.30711752305825	0.441280728496065	PLAUR	3.04032761717884	-
7934979	7934979	0.00014141792490829	0.000000849118615273863	24.6683075256544	8.30691780768861	1.09240357947572	ANKRD1	2.72212018530607	-
7973306	7973306	0.00014141792490829	0.000000849974163388146	24.6637097644094	8.30611011004238	0.594077446607095	ABHD4	2.80658818202781	+
8046333	8046333	0.00014141792490829	0.000000851179700010832	24.6572404244506	8.30497321545575	0.644702650260536	CYBRD1	2.68806214518395	+
7923378	7923378	0.00014141792490829	0.000000851879726162513	24.6534888035281	8.30431370005725	0.28680128421977	CSRP1	3.40444147469761	-
8112971	8112971	0.000142442812524624	0.000000863797260444489	24.5901732934438	8.29315860378049	1.02094495222651	HAPLN1	2.71162231536677	-
7995206	7995206	0.000142999429078916	0.000000873603141365693	24.538846160461	8.28408150656156	0.460936402337866	TGFB1I1	3.04202433328711	+
8149330	8149330	0.000142999429078916	0.00000087602137797795	24.5262929808028	8.28185683289492	0.361496921331412	CTSB	3.26888435732301	-
8056257	8056257	0.000144719678043863	0.000000891037280119078	24.4492507800952	8.26816306341145	0.981146821917047	FAP	2.49729260093599	-
7903786	7903786	0.000145384496930476	0.000000900053777327951	24.4037236190402	8.26003814704264	0.396963214339478	CSF1	3.06597156169894	+
8021169	8021169	0.000146154586312307	0.000000922481841765747	24.2927774219684	8.24013580080608	0.515928122510987	LIPG	2.72906593664526	+
7917516	7917516	0.000148488582579239	0.000000946401658714868	24.1779125118077	8.21937609623542	0.743342212145226	GBP1	2.84442750104801	-
8094789	8094789	0.00015085985424923	0.00000097085021143652	24.0640020250205	8.19863227761928	0.686709990593164	LIMCH1	2.60148538487122	+
8090193	8090193	0.000152305926540842	0.000000997123782156561	23.9453086658922	8.17684991737573	0.892134038255587	HEG1	2.69013652072305	-
8129562	8129562	0.000152305926540842	0.00000100740086725967	23.8998830372553	8.16846789849224	0.976748120066434	CTGF	3.08680347730901	-
8100541	8100541	0.000152305926540842	0.00000101314235965103	23.8747429977552	8.16381810356802	0.796336571413442	IGFBP7	2.99382271536037	-
7924207	7924207	0.000154874669907339	0.00000104147079175488	23.7531207596208	8.14121300234247	0.783512750844245	PTPN14	2.9582906984471	-
8029950	8029950	0.000158814172700741	0.00000109497378165213	23.5337396479598	8.09997069774806	0.465509307164766	EHD2	3.02189880337807	+
8096385	8096385	0.000158814172700741	0.00000109517537281408	23.5329371760912	8.09981872314253	0.461604691608653	HERC3	2.82935003712437	+
8045835	8045835	0.000158814172700741	0.00000109574457820814	23.5306722882583	8.0993897475645	0.984937896910692	GALNT5	2.57955206466062	+
8129677	8129677	0.000162929378790448	0.00000114430150630957	23.3424233912771	8.06350594574882	0.562369357265943	SGK1	2.68472957747836	-
8082100	8082100	0.000163364025329043	0.00000115612946377974	23.2979958451167	8.05497076872732	0.698395814109852	PARP14	2.36790467855861	+
8120043	8120043	0.000163364025329043	0.00000115746300548717	23.293020588281	8.05401335888062	0.690420152254875	RUNX2	2.72112732264697	+
7908351	7908351	0.000163392423713354	0.0000011695652624014	23.2481762553099	8.04536927472256	0.866144295597204	PLA2G4A	2.09342651467198	+
8001800	8001800	0.000163392423713354	0.00000117273112160012	23.2365357785895	8.04312121037555	1.02969861701076	CDH11	2.82278694705743	-
7921099	7921099	0.000164275132947897	0.00000118757339073427	23.1824535322256	8.03265340796958	0.869063057604391	CRABP2	3.00364049653244	-
8159900	8159900	0.000164275132947897	0.00000118933142878648	23.1761005522728	8.03142125791581	0.552391210889021	GLIS3	2.8595770095798	-
8022646	8022646	0.000166512368419128	0.0000012312878949343	23.0276955749162	8.00248734867245	0.481314768884182	KCTD1	2.74586882576962	-
8123609	8123609	0.000170660969655793	0.00000127168987732447	22.8903327879453	7.97544599842473	0.672701977854421	SERPINB9	2.52901508838119	-
7944082	7944082	0.000175212356086289	0.00000134396038967516	22.6570309934146	7.92893585956855	0.899585513678179	TAGLN	2.92003447541618	+
7980580	7980580	0.000175495664207957	0.00000136881028311308	22.580217147011	7.91346007742435	0.544057559990837	GALC	2.80293745308478	-
8092691	8092691	0.000177267101325192	0.00000140895734476764	22.4595363947731	7.88898175110321	0.548556835882452	BCL6	2.59244451224414	-
8092552	8092552	0.000178029059475122	0.00000142661199851665	22.407747127286	7.87841490588264	0.72509663506219	IGF2BP2	2.86120771067518	-
7982564	7982564	0.000178436207183494	0.0000014490271261587	22.3430741381096	7.86516655007839	0.454063035779482	SPRED1	3.00455105238901	+
7951662	7951662	0.000178436207183494	0.00000144989769609813	22.3405862307216	7.86465572374881	0.828332296438411	CRYAB	2.524202268467	-
8047272	8047272	0.000178436207183494	0.00000145747837927176	22.3189965678996	7.86021918973711	0.82730672982869	SPATS2L	2.85657589024343	+
7961532	7961532	0.00017977967407209	0.00000148055252730647	22.254089867336	7.84684160469892	1.13386314502525	ARHGDIB	2.50429215285709	-
7921882	7921882	0.00017977967407209	0.00000148950953157337	22.2292155647453	7.84169905269931	0.785418210654223	OLFML2B	2.64089236063857	-
7978492	7978492	0.00017977967407209	0.0000014923882274751	22.2212587188879	7.84005218400883	0.494285288511779	HEATR5A	2.8385355696089	-
7965573	7965573	0.00017977967407209	0.00000149626349201424	22.2105759129562	7.8378396914651	0.724778553968302	NTN4	2.94124808589812	-
8134257	8134257	0.000182233312293703	0.00000155757425573664	22.0457899031673	7.80350417404001	0.50794233824275	GNG11	3.10918015305498	+
8121685	8121685	0.000182233312293703	0.00000155988634242684	22.0397263303175	7.80223328380104	0.804935942023006	DCBLD1	2.57164907716163	+
8129134	8129134	0.000182233312293703	0.00000156179039959642	22.0347408074058	7.80118794800888	0.726122934625273	ROS1	2.33540357517134	-
8057620	8057620	0.000187401600527709	0.00000162347848605422	21.8769975456624	7.76792653386863	0.759079508416544	COL5A2	2.67989200902923	-
7906900	7906900	0.000189276161847397	0.00000165224285997543	21.8058473296721	7.75280465631758	0.5292597747373	DDR2	2.75593614428952	+
8008237	8008237	0.000189918674543742	0.00000166878820489535	21.7655815228926	7.74421365474858	0.394053200380218	ITGA3	3.24607149370032	+
7981514	7981514	0.000190979570082906	0.00000169848975117915	21.6944681449589	7.72898229187741	0.703031931061679	AHNAK2	2.69193466875129	-
8180061	8180061	0.000190979570082906	0.00000170174549623702	21.6867624981966	7.72732733833832	0.705461683070522	TAP1	2.8546418703779	-
8073015	8073015	0.000193374027644007	0.00000174317231955954	21.5902093839107	7.70651507051988	0.548451973359552	KDELR3	3.00233683378718	+
8109159	8109159	0.000193374027644007	0.00000174991636792927	21.5747478797602	7.70316928354501	1.39911621923815	MIR145	2.3471544286813	+
8097449	8097449	0.000194793625763015	0.00000177189214363189	21.5248503368299	7.69234708294084	0.715785498870797	PCDH10	2.94053850679508	+
8115234	8115234	0.000196416580267679	0.00000179273200640343	21.4782030094975	7.68219567677557	0.68928575367554	ANXA6	2.9931905447433	-
7906400	7906400	0.000197607031919503	0.00000181582526778541	21.4272545063019	7.67107038488716	1.10766999051694	IFI16	2.4832283464814	+
8166202	8166202	0.000201799770788456	0.00000186683987085017	21.3173703034783	7.64694026581219	0.50093288532435	GRPR	2.58959418412671	+
8135218	8135218	0.000203478546579946	0.00000189081766252658	21.2669418911338	7.63580404636641	1.26927525011632	LRRC17	2.6435837337864	+
7918593	7918593	0.000203478546579946	0.00000189496124874119	21.2583039847329	7.6338925630016	0.41297992177162	RHOC	3.14040909149516	-
7990054	7990054	0.000204565929884145	0.00000192689618355404	21.1924710813478	7.61928624161753	0.778844721072069	UACA	2.47733945119469	-
8040430	8040430	0.000205494829657915	0.00000194552822856106	21.1546544542842	7.61086527474178	1.07171730773749	VSNL1	2.56934187825649	+
8021623	8021623	0.000208008163871632	0.00000197701422408809	21.0917114141723	7.59679940996714	1.01382426287826	SERPINB7	2.46485892043559	+
8046815	8046815	0.000208008163871632	0.00000198338480197863	21.0791201827328	7.59397816054296	0.473963139274725	ZNF804A	2.71852617695033	+
8170420	8170420	0.000209051978136606	0.00000200507760348838	21.0366008719207	7.58443256602895	0.74966093866899	MAMLD1	2.84107047042086	+
8112202	8112202	0.000213947357100428	0.00000209566270881351	20.8647446466045	7.5455575601123	0.408191923002796	PLK2	3.25888676648776	-
8106393	8106393	0.000215258471601505	0.00000215106134453898	20.7639131588128	7.52252782341006	1.0718938003952	F2R	2.86035468801836	+
7897803	7897803	0.000215258471601505	0.00000215118611204127	20.7636895439963	7.52247656701266	0.359719753000653	PLOD1	3.12767722631641	+
7987315	7987315	0.000216143306401687	0.00000216671610637501	20.7359749309039	7.51611759553392	0.576235210981241	ACTC1	3.08991460910614	-
8092726	8092726	0.000217762742327538	0.00000218968754854273	20.6954079328368	7.50678712266332	0.965160688500123	CLDN1	2.77634171472994	-
8086467	8086467	0.000218049860525961	0.00000219932101517475	20.6785448749424	7.50290067429443	0.559309053605218	ANO10	2.85279604807034	-
7974366	7974366	0.000218807008866539	0.00000221372766620335	20.6534887081128	7.49711734031156	0.616682613509908	PTGER2	2.54233422087434	+
8145766	8145766	0.000220404367226377	0.00000224901703998867	20.5929185805651	7.48309420625422	0.832763516557621	NRG1	2.76200319178479	+
7908459	7908459	0.000220404367226377	0.00000225418524844046	20.5841422738288	7.48105730481644	0.810433527669173	CFH	2.63613407489732	+
8025672	8025672	0.000220404367226377	0.00000225716548225398	20.5790922410202	7.47988466061333	0.322224078915997	SLC44A2	3.28577656841679	+
8056201	8056201	0.000221901237092639	0.0000022795299997536	20.541445022932	7.47112946790926	0.696783734582538	RBMS1	2.80964231485816	-
8015635	8015635	0.000224026646195032	0.00000231591339614611	20.4811222812931	7.45705178765878	0.729567264132698	PTRF	2.81054890361216	-
8122807	8122807	0.000224031542927342	0.00000234545767368626	20.4329566538428	7.44576763802418	0.780592313630887	AKAP12	2.73287812134221	+
8044191	8044191	0.000224031542927342	0.00000235167929502771	20.4229049925343	7.44340785266216	1.1093209705101	SLC5A7	2.50506124260126	+
8008151	8008151	0.000224031542927342	0.0000023523863946555	20.4217645900681	7.44314001816205	0.718419372204099	IGF2BP1	2.78965044901899	+
7939383	7939383	0.000224031542927342	0.00000237055746051022	20.3925966731796	7.43628222389151	0.412740271924674	PRR5L	2.82621889799046	+
8041781	8041781	0.000224761248060686	0.00000239359638284985	20.355992499174	7.42765578724587	0.546876527554557	EPAS1	2.72914224991769	+
8150509	8150509	0.000225287968612108	0.00000241173345935427	20.3274680071975	7.42091778481837	0.603979795624154	PLAT	2.84398428590533	-
