genes	logFC	logCPM	F	PValue	FDR
ENSG00000089127.12	ENSG00000089127.12	2.37858018237579	4.64023815643823	224.029670662302	1.32730156909862e-50	1.06729204038933e-47
ENSG00000173221.13	ENSG00000173221.13	2.36631183639065	2.48306085048355	113.98394307181	1.35014862390219e-26	2.80775045552736e-24
ENSG00000138642.14	ENSG00000138642.14	2.36561648812203	4.70700499778419	224.352159666297	1.12917922451806e-50	9.20250549624798e-48
ENSG00000232810.3	ENSG00000232810.3	2.35471401970677	-0.507514175622717	21.1275013811753	4.30151409773428e-06	9.66526498532635e-05
ENSG00000135899.16	ENSG00000135899.16	2.34430590055949	4.30340001131023	201.98148329301	8.40394423137602e-46	5.22500070830748e-43
ENSG00000272031.2	ENSG00000272031.2	2.33198919818931	5.23787877800019	243.083020585107	9.46328029865351e-55	9.51185847085326e-52
ENSG00000183486.12	ENSG00000183486.12	2.32512856595452	1.04726134783603	57.2857243187114	3.79541706842098e-14	2.62794503515881e-12
ENSG00000105499.13	ENSG00000105499.13	2.232128527998	3.16098042821332	132.737669191757	1.07077564678928e-30	2.93528807757127e-28
ENSG00000117226.11	ENSG00000117226.11	2.22436142079425	2.42330163240984	101.027465105791	9.26938953149794e-24	1.53999543764622e-21
ENSG00000156587.15	ENSG00000156587.15	2.22405531648035	5.32295222267674	227.410073408246	2.43824752351518e-51	2.16243870070814e-48
ENSG00000135604.9	ENSG00000135604.9	2.21148503090227	0.256356039047236	33.2664415805035	8.05529258247936e-09	2.83429746245137e-07
ENSG00000084636.17	ENSG00000084636.17	2.19860768311713	2.3387525515993	95.6447431539945	1.40149394260095e-22	2.05647923820871e-20
ENSG00000167779.7	ENSG00000167779.7	2.19549333020248	2.23925076570614	91.6632592591117	1.04598865735663e-21	1.43693585302651e-19
ENSG00000162645.12	ENSG00000162645.12	2.16761330077564	3.98846260057059	163.043818815674	2.58731078890733e-37	1.01984012455832e-34
ENSG00000183696.13	ENSG00000183696.13	2.1403751150004	1.92254925197545	75.8231571398696	3.14056843327432e-18	3.20476143949083e-16
ENSG00000019582.14	ENSG00000019582.14	2.1397722675285	2.11412054330893	82.7405166456455	9.49324743304954e-20	1.11384973967384e-17
ENSG00000136960.12	ENSG00000136960.12	2.13373258946168	-1.28088075169018	8.48812652801803	0.00357537325123974	0.0382040414662946
ENSG00000111331.12	ENSG00000111331.12	2.11527407123084	7.38701724771514	250.473843443458	2.33336608435453e-56	2.51286860384381e-53
ENSG00000115267.5	ENSG00000115267.5	2.11067912922058	5.45044292065923	211.129598564578	8.54830224558357e-48	6.0650707273724e-45
ENSG00000205413.7	ENSG00000205413.7	2.09711465688147	3.3319168758358	126.88739139649	2.03393185403417e-29	5.04783383757584e-27
