"B_cell"	"T_cell.CD4"	"T_cell.CD8"	"Neutrophil"	"Macrophage"	"DC"
"TCGA-DM-A28A-01A"	0	0	0.87646315452299	0	0	0
"TCGA-DM-A28C-01A"	0	0.488288063133521	0	0	0	0
"TCGA-DM-A28E-01A"	0	0	0	0.429228955660521	0	0
"TCGA-DM-A28F-01A"	0	0	0.65125317166875	0	0	0
"TCGA-DM-A28G-01A"	0	0	0.57925511475637	0	0	0
"TCGA-DM-A28H-01A"	0	0.367587642970809	0	0	0	0
"TCGA-DM-A28K-01A"	0	0	0	0.504348393767425	0	0
"TCGA-DM-A28M-01A"	0	0	0	0.466445633562364	0	0
"TCGA-F4-6459-01A"	0	0	1.17377803455461	0	0	0
"TCGA-F4-6460-01A"	0	0.820991840378863	0	0	0	0
"TCGA-F4-6461-01A"	1.16782117695451	0	0	0	0	0
"TCGA-F4-6463-01A"	0	0	0.986726972828531	0	0	0
"TCGA-F4-6569-01A"	0	0	1.87540837303156	0	0	0
"TCGA-F4-6570-01A"	0	0	0	0	0	1.80212445813679
"TCGA-F4-6703-01A"	0	0	0	3.52352596918357	0	0
"TCGA-F4-6704-11A"	0	1.14411079776267	0	0	0	0
"TCGA-F4-6704-01A"	0	0	0	0	1.41772740573893	0
"TCGA-F4-6805-01A"	0	0	1.52068734129835	0	0	0
"TCGA-F4-6806-01A"	0.799934671802369	0	0	0	0	0
"TCGA-F4-6807-01A"	0	0	1.47687788731534	0	0	0
"TCGA-F4-6808-01A"	0	0	0	0	0.561283613891111	0
"TCGA-F4-6809-01A"	0	0.991225831928729	0	0	0	0
"TCGA-F4-6854-01A"	0	0.733112715341278	0	0	0	0
"TCGA-F4-6855-01A"	0	0	1.34466757216863	0	0	0
"TCGA-F4-6856-01A"	0	0	0.698676797855561	0	0	0
"TCGA-G4-6293-01A"	0	0	0	1.00789151930226	0	0
"TCGA-G4-6294-01A"	0	0	0.591248531899655	0	0	0
"TCGA-G4-6295-01A"	0.810569609490133	0	0	0	0	0
"TCGA-G4-6297-01A"	0	0	1.64273688927315	0	0	0
"TCGA-G4-6298-01A"	0	0	0.728698523020503	0	0	0
"TCGA-G4-6299-01A"	0	0	0	0	1.21877753176994	0
"TCGA-G4-6302-01A"	0	0	0	0	1.87786226863675	0
"TCGA-G4-6303-01A"	0	0	0	0.882872511186263	0	0
"TCGA-G4-6304-01A"	0	0	0	0.546160161116525	0	0
"TCGA-G4-6306-01A"	0	0	0	0	0	0.604973059938723
"TCGA-G4-6307-01A"	0	0.42873918603941	0	0	0	0
"TCGA-G4-6309-01A"	0	0	0	0.712036668683589	0	0
"TCGA-G4-6310-01A"	0	0.635339147474652	0	0	0	0
"TCGA-G4-6311-01A"	0	0	1.24692894075038	0	0	0
"TCGA-G4-6314-01A"	0	0	1.1115630475503	0	0	0
"TCGA-G4-6315-01A"	0	0	0.460141482409969	0	0	0
"TCGA-G4-6317-01A"	0	0	0.31421890582606	0	0	0
"TCGA-G4-6317-02A"	0	0	0.618935328086874	0	0	0
"TCGA-G4-6320-01A"	0	0	0	0.517429293585374	0	0
"TCGA-G4-6321-01A"	0	0	1.50904784164421	0	0	0
"TCGA-G4-6322-01A"	0	0	0	0.89655922367061	0	0
"TCGA-G4-6323-01A"	0.748063824124468	0	0	0	0	0
"TCGA-G4-6586-01A"	0	0	0	0.791268347100786	0	0
"TCGA-G4-6588-01A"	0	0	0	0.852318415964558	0	0
"TCGA-G4-6625-01A"	0	0	0	0	0	1.25356440296127
"TCGA-G4-6626-01A"	0	0	0	0	0.469496643226852	0
"TCGA-G4-6627-01A"	0	0	1.54810455905553	0	0	0
"TCGA-G4-6628-01A"	0	0	0	0	0	1.60790857295702
"TCGA-NH-A50T-01A"	0	0	0.422537221010591	0	0	0
"TCGA-NH-A50U-01A"	0	0.70672082925364	0	0	0	0
"TCGA-NH-A50V-01A"	0	0	0	1.1298428576421	0	0
"TCGA-NH-A5IV-01A"	0	0	0	0	0.905870287759422	0
"TCGA-NH-A6GA-01A"	0	0.725294734906941	0	0	0	0
"TCGA-NH-A6GB-01A"	0	0	0	0.83305256576993	0	0
"TCGA-NH-A6GC-01A"	0	0	0.782151218188783	0	0	0
"TCGA-NH-A8F7-06A"	0	0.371234214152403	0	0	0	0
"TCGA-NH-A8F7-01A"	0	0	0.415581141022777	0	0	0
"TCGA-NH-A8F8-01A"	0	0	0.843712418346753	0	0	0
"TCGA-QG-A5YV-01A"	0	0	0.53543957748765	0	0	0
"TCGA-QG-A5YW-01A"	0	0	0	1.0147399454707	0	0
"TCGA-QG-A5YX-01A"	0	0.512580129550865	0	0	0	0
"TCGA-QG-A5Z1-01A"	0	0	0.801335152488832	0	0	0
"TCGA-QG-A5Z2-01A"	0.799827786762643	0	0	0	0	0
"TCGA-QL-A97D-01A"	0	0	0	0.787577410353054	0	0
"TCGA-RU-A8FL-01A"	0	0.316057923453314	0	0	0	0
"TCGA-SS-A7HO-01A"	0	0	0	0	0.378615590411035	0
"TCGA-T9-A92H-01A"	0	0	0.549174987655021	0	0	0
"TCGA-WS-AB45-01A"	0	0	0	3.36654135905854	0	0
