"B_cell"	"T_cell.CD4"	"T_cell.CD8"	"Neutrophil"	"Macrophage"	"DC"
"TCGA-A7-A2KD-01A"	0	0	0	0	0.923504168798375	0
"TCGA-A7-A3IY-01A"	0	0	0	0	1.12851277634089	0
"TCGA-A7-A3IZ-01A"	0	0	0	0	0.633697040554588	0
"TCGA-A7-A3J0-01A"	0.813811779014038	0	0	0	0	0
"TCGA-A7-A3J1-01A"	1.16736080506936	0	0	0	0	0
"TCGA-A7-A3RF-01A"	0	0	0	0	0.563344280035142	0
"TCGA-A7-A425-01A"	0	0	0	1.07294418252184	0	0
"TCGA-A7-A426-01A"	0	0.840979589782338	0	0	0	0
"TCGA-A7-A4SA-01A"	0	1.04980114826697	0	0	0	0
"TCGA-A7-A4SB-01A"	0	0	0.60546080599177	0	0	0
"TCGA-A7-A4SC-01A"	0	0	0	1.01524193033166	0	0
"TCGA-A7-A4SD-01A"	0	0	0	1.36064725104589	0	0
"TCGA-A7-A4SE-01A"	0	0	0	0.997631800331261	0	0
"TCGA-A7-A4SF-01A"	0.652890555079039	0	0	0	0	0
"TCGA-A7-A56D-01A"	0	0	0	0	0	0.975812152893737
"TCGA-A7-A5ZV-01A"	0	0	0	0	1.14965231590317	0
"TCGA-A7-A5ZW-01A"	0	0	0	0	0.913269447434019	0
"TCGA-A7-A5ZX-01A"	0	0.815888632781631	0	0	0	0
"TCGA-A7-A6VV-01A"	0	0	0	0	0	1.20621552369998
"TCGA-A7-A6VW-01A"	0	0	0	1.1898632727313	0	0
"TCGA-A7-A6VX-01A"	0	0.741021962576892	0	0	0	0
"TCGA-A7-A6VY-01A"	0	0	0	0	0	1.58238751336459
"TCGA-A8-A06N-01A"	0	0	0	0.504722879377874	0	0
"TCGA-A8-A06O-01A"	0	0	0	0	0.66909147439222	0
"TCGA-A8-A06P-01A"	0	0	0	0	0.859658749670727	0
"TCGA-A8-A06Q-01A"	0	0	0	0	0.483985117836299	0
"TCGA-A8-A06R-01A"	0	0	0	0	0.863850632187978	0
"TCGA-A8-A06T-01A"	0	0.574318866905368	0	0	0	0
"TCGA-A8-A06U-01A"	0	0	0	0	0.83173672055693	0
"TCGA-A8-A06X-01A"	0	0	0	0	0.789336189785225	0
"TCGA-A8-A06Y-01A"	0	0	0	0.533917965467519	0	0
"TCGA-A8-A06Z-01A"	0	0	0	0	0.591958072435756	0
"TCGA-A8-A075-01A"	0	0	0	0	0.930512665561612	0
"TCGA-A8-A076-01A"	0	0	0	0	0.815251852181861	0
"TCGA-A8-A079-01A"	0.656692685554618	0	0	0	0	0
"TCGA-A8-A07B-01A"	0	0	0	0	0.647576609880956	0
"TCGA-A8-A07C-01A"	0	0	0	0	0.84560163789877	0
"TCGA-A8-A07E-01A"	0	0	0	0	0	0.954113208776222
"TCGA-A8-A07F-01A"	0	0	0	0	0.807447993068129	0
"TCGA-A8-A07G-01A"	0	0	0	0	0	0.910407304575598
"TCGA-A8-A07I-01A"	0	0	0	0	0.882253022172387	0
"TCGA-A8-A07J-01A"	0	0	0	0	1.31603013639747	0
"TCGA-A8-A07L-01A"	0	0	0	0	0.467059461783227	0
"TCGA-A8-A07O-01A"	0	0	0	1.08975809198792	0	0
"TCGA-A8-A07P-01A"	0	0	0	0	0.655196839274608	0
"TCGA-A8-A07R-01A"	0	0	0	0.810023741855642	0	0
"TCGA-A8-A07S-01A"	0	0	0	0	0.658274147037386	0
"TCGA-A8-A07U-01A"	0	0	0	1.76738216802352	0	0
"TCGA-A8-A07W-01A"	0	0	0	0	0.774230945245393	0
"TCGA-A8-A07Z-01A"	0	0	0	0	0	0.694928218769407
"TCGA-A8-A081-01A"	0	0	0	0.858479340643579	0	0
"TCGA-A8-A082-01A"	0	0	0	0	0.717633724283023	0
"TCGA-A8-A083-01A"	0	0	0.563590486118757	0	0	0
"TCGA-A8-A084-01A"	0	0	0	0.775659469675537	0	0
"TCGA-A8-A085-01A"	0	0.487476532174626	0	0	0	0
"TCGA-A8-A086-01A"	0	0	0	0	0.733050837743233	0
"TCGA-A8-A08A-01A"	0	0	0	0	0	0.877291882385178
"TCGA-A8-A08B-01A"	0	0	0.639264363580115	0	0	0
"TCGA-A8-A08C-01A"	0	0	0.615872041945642	0	0	0
"TCGA-A8-A08F-01A"	0	0	0	0	0	1.01601513860288
"TCGA-A8-A08G-01A"	0	0	0	0	0.756141337337157	0
"TCGA-A8-A08H-01A"	0	0	0	0	2.2256292535781	0
"TCGA-A8-A08I-01A"	0	0	0	0	0	1.96587750877808
"TCGA-A8-A08J-01A"	0	0	0	0	0.736995426980935	0
"TCGA-A8-A08L-01A"	0	0.857349205159309	0	0	0	0
"TCGA-A8-A08O-01A"	0	0.531770194810422	0	0	0	0
